,number_of_books_read,year
669,10,2014
670,15,2014
671,8,2014
672,0,2014
673,97,2014
674,6,2014
675,15,2014
676,3,2014
677,0,2014
678,10,2014
679,30,2014
680,7,2014
681,10,2014
682,0,2014
683,2,2014
684,2,2014
685,6,2014
686,4,2014
687,20,2014
688,3,2014
689,4,2014
690,10,2014
691,0,2014
692,0,2014
693,97,2014
694,97,2014
695,3,2014
696,5,2014
697,7,2014
698,13,2014
699,4,2014
700,12,2014
701,30,2014
702,0,2014
703,2,2014
704,0,2014
705,10,2014
706,5,2014
707,0,2014
708,50,2014
709,3,2014
710,3,2014
711,3,2014
712,0,2014
713,2,2014
714,9,2014
715,40,2014
716,2,2014
717,5,2014
718,0,2014
719,40,2014
720,16,2014
721,0,2014
722,4,2014
723,0,2014
724,2,2014
725,4,2014
726,1,2014
727,4,2014
728,15,2014
729,50,2014
730,0,2014
731,1,2014
732,15,2014
733,2,2014
734,20,2014
735,3,2014
736,4,2014
737,2,2014
738,20,2014
739,50,2014
740,97,2014
741,6,2014
742,5,2014
743,0,2014
744,34,2014
745,6,2014
746,0,2014
747,3,2014
748,12,2014
749,12,2014
750,5,2014
751,18,2014
752,33,2014
753,15,2014
754,0,2014
755,3,2014
756,10,2014
757,2,2014
758,10,2014
759,0,2014
760,50,2014
761,0,2014
762,10,2014
763,1,2014
764,97,2014
765,3,2014
766,0,2014
767,3,2014
768,6,2014
769,0,2014
770,5,2014
771,14,2014
772,1,2014
773,0,2014
774,0,2014
775,5,2014
776,3,2014
777,0,2014
778,20,2014
779,60,2014
780,10,2014
781,8,2014
782,50,2014
783,10,2014
784,15,2014
785,3,2014
786,2,2014
787,3,2014
788,2,2014
789,6,2014
790,8,2014
791,0,2014
792,97,2014
793,4,2014
794,5,2014
795,24,2014
796,4,2014
797,10,2014
798,10,2014
799,3,2014
800,5,2014
801,0,2014
802,15,2014
803,25,2014
804,0,2014
805,3,2014
806,75,2014
807,0,2014
808,15,2014
809,0,2014
810,7,2014
811,0,2014
812,3,2014
813,3,2014
814,0,2014
815,0,2014
816,3,2014
817,3,2014
818,0,2014
819,7,2014
820,10,2014
821,6,2014
822,1,2014
823,6,2014
824,20,2014
825,10,2014
826,0,2014
827,1,2014
828,3,2014
829,1,2014
830,2,2014
831,0,2014
832,0,2014
833,12,2014
834,12,2014
835,0,2014
836,6,2014
837,0,2014
838,13,2014
839,0,2014
840,1,2014
841,5,2014
842,5,2014
843,5,2014
844,5,2014
845,75,2014
846,0,2014
847,0,2014
848,5,2014
849,10,2014
850,5,2014
851,10,2014
852,12,2014
853,97,2014
854,15,2014
855,5,2014
856,8,2014
857,3,2014
858,1,2014
859,0,2014
860,25,2014
861,0,2014
862,2,2014
863,4,2014
864,6,2014
865,0,2014
866,0,2014
867,13,2014
868,5,2014
869,3,2014
870,0,2014
871,10,2014
872,5,2014
873,2,2014
874,0,2014
875,0,2014
876,12,2014
877,10,2014
878,0,2014
879,2,2014
880,0,2014
881,10,2014
882,6,2014
883,0,2014
884,20,2014
885,0,2014
886,2,2014
887,4,2014
888,2,2014
889,0,2014
890,5,2014
891,10,2014
892,9,2014
893,1,2014
894,25,2014
895,0,2014
896,7,2014
897,7,2014
898,6,2014
899,0,2014
900,20,2014
901,0,2014
902,10,2014
903,0,2014
904,12,2014
905,6,2014
906,3,2014
907,30,2014
908,6,2014
909,0,2014
910,8,2014
911,3,2014
912,3,2014
913,3,2014
914,0,2014
915,20,2014
916,25,2014
917,0,2014
918,4,2014
919,0,2014
920,36,2014
921,2,2014
922,50,2014
923,97,2014
924,5,2014
925,9,2014
926,5,2014
927,9,2014
928,97,2014
929,3,2014
930,0,2014
931,5,2014
932,4,2014
933,0,2014
934,2,2014
935,10,2014
936,1,2014
937,15,2014
938,3,2014
939,10,2014
940,0,2014
941,0,2014
942,6,2014
943,1,2014
944,0,2014
945,0,2014
946,3,2014
947,0,2014
948,75,2014
949,0,2014
950,52,2014
951,1,2014
952,10,2014
953,6,2014
954,2,2014
955,50,2014
956,50,2014
957,6,2014
958,3,2014
959,10,2014
960,1,2014
961,11,2014
962,3,2014
963,3,2014
964,1,2014
965,0,2014
966,12,2014
967,0,2014
968,0,2014
969,0,2014
970,3,2014
971,15,2014
972,6,2014
973,10,2014
974,15,2014
975,12,2014
976,12,2014
977,10,2014
978,18,2014
979,24,2014
980,3,2014
981,1,2014
982,15,2014
983,16,2014
984,75,2014
985,2,2014
986,4,2014
987,1,2014
988,6,2014
989,2,2014
990,50,2014
991,0,2014
992,4,2014
993,5,2014
994,0,2014
995,0,2014
996,1,2014
997,0,2014
998,1,2014
999,25,2014
1000,5,2014
1001,5,2014
1002,50,2014
1003,1,2014
1004,2,2014
1005,24,2015
1006,80,2015
1007,20,2015
1008,97,2015
1009,6,2015
1010,8,2015
1011,0,2015
1012,2,2015
1013,10,2015
1014,2,2015
1015,50,2015
1016,5,2015
1017,8,2015
1018,3,2015
1019,9,2015
1020,3,2015
1021,4,2015
1022,0,2015
1023,8,2015
1024,0,2015
1025,0,2015
1026,97,2015
1027,3,2015
1028,0,2015
1029,6,2015
1030,10,2015
1031,3,2015
1032,3,2015
1033,75,2015
1034,7,2015
1035,24,2015
1036,3,2015
1037,97,2015
1038,7,2015
1039,13,2015
1040,0,2015
1041,45,2015
1042,3,2015
1043,6,2015
1044,0,2015
1045,2,2015
1046,7,2015
1047,15,2015
1048,20,2015
1049,3,2015
1050,12,2015
1051,40,2015
1052,80,2015
1053,3,2015
1054,0,2015
1055,30,2015
1056,0,2015
1057,0,2015
1058,10,2015
1059,2,2015
1060,30,2015
1061,0,2015
1062,0,2015
1063,4,2015
1064,0,2015
1065,50,2015
1066,3,2015
1067,3,2015
1068,97,2015
1069,0,2015
1070,50,2015
1071,1,2015
1072,8,2015
1073,10,2015
1074,12,2015
1075,30,2015
1076,3,2015
1077,2,2015
1078,20,2015
1079,12,2015
1080,7,2015
1081,2,2015
1082,2,2015
1083,2,2015
1084,0,2015
1085,13,2015
1086,20,2015
1087,20,2015
1088,0,2015
1089,8,2015
1090,0,2015
1091,0,2015
1092,1,2015
1093,0,2015
1094,50,2015
1095,0,2015
1096,2,2015
1097,25,2015
1098,6,2015
1099,0,2015
1100,5,2015
1101,20,2015
1102,11,2015
1103,15,2015
1104,1,2015
1105,6,2015
1106,0,2015
1107,15,2015
1108,6,2015
1109,1,2015
1110,25,2015
1111,0,2015
1112,4,2015
1113,12,2015
1114,14,2015
1115,20,2015
1116,0,2015
1117,2,2015
1118,1,2015
1119,6,2015
1120,12,2015
1121,15,2015
1122,3,2015
1123,50,2015
1124,60,2015
1125,2,2015
1126,0,2015
1127,0,2015
1128,3,2015
1129,8,2015
1130,0,2015
1131,1,2015
1132,0,2015
1133,0,2015
1134,2,2015
1135,10,2015
1136,0,2015
1137,10,2015
1138,0,2015
1139,14,2015
1140,12,2015
1141,10,2015
1142,12,2015
1143,5,2015
1144,0,2015
1145,2,2015
1146,2,2015
1147,0,2015
1148,2,2015
1149,0,2015
1150,2,2015
1151,40,2015
1152,0,2015
1153,50,2015
1154,0,2015
1155,97,2015
1156,97,2015
1157,97,2015
1158,6,2015
1159,2,2015
1160,0,2015
1161,3,2015
1162,0,2015
1163,0,2015
1164,97,2015
1165,6,2015
1166,12,2015
1167,12,2015
1168,20,2015
1169,2,2015
1170,0,2015
1171,0,2015
1172,10,2015
1173,3,2015
1174,6,2015
1175,0,2015
1176,4,2015
1177,97,2015
1178,20,2015
1179,10,2015
1180,20,2015
1181,2,2015
1182,7,2015
1183,15,2015
1184,97,2015
1185,4,2015
1186,5,2015
1187,0,2015
1188,5,2015
1189,96,2015
1190,0,2015
1191,2,2015
1192,0,2015
1193,11,2015
1194,2,2015
1195,3,2015
1196,0,2015
1197,20,2015
1198,10,2015
1199,2,2015
1200,3,2015
1201,20,2015
1202,0,2015
1203,4,2015
1204,6,2015
1205,0,2015
1206,7,2015
1207,6,2015
1208,12,2015
1209,70,2015
1210,3,2015
1211,60,2015
1212,0,2015
1213,20,2015
1214,6,2015
1215,0,2015
1216,0,2015
1217,2,2015
1218,3,2015
1219,30,2015
1220,3,2015
1221,0,2015
1222,0,2015
1223,10,2015
1224,0,2015
1225,10,2015
1226,3,2015
1227,0,2015
1228,10,2015
1229,97,2015
1230,12,2015
1231,8,2015
1232,0,2015
1233,36,2015
1234,50,2015
1235,0,2015
1236,0,2015
1237,40,2015
1238,5,2015
1239,12,2015
1240,0,2015
1241,25,2015
1242,0,2015
1243,0,2015
1244,0,2015
1245,50,2015
1246,3,2015
1247,2,2015
1248,30,2015
1249,1,2015
1250,50,2015
1251,1,2015
1252,24,2015
1253,0,2015
1254,4,2015
1255,0,2015
1256,50,2015
1257,6,2015
1258,9,2015
1259,97,2015
1260,35,2015
1261,0,2015
1262,70,2015
1263,10,2015
1264,10,2015
1265,0,2015
1266,6,2015
1267,0,2015
1268,5,2015
1269,97,2015
1270,50,2015
1271,97,2015
1272,4,2015
1273,0,2015
1274,4,2015
1275,1,2015
1276,20,2015
1277,3,2015
1278,4,2015
1279,0,2015
1280,52,2015
1281,0,2015
1282,1,2015
1283,0,2015
1284,0,2015
1285,1,2015
1286,0,2015
1287,12,2015
1288,5,2015
1289,30,2015
1290,4,2015
1291,3,2015
1292,2,2015
1293,0,2015
1294,2,2015
1295,50,2015
1296,2,2015
1297,1,2015
1298,5,2015
1299,0,2015
1300,97,2015
1301,6,2015
1302,10,2015
1303,20,2015
1304,20,2015
1305,40,2015
1306,0,2015
1307,0,2015
1308,7,2015
1309,2,2015
1310,10,2015
1311,15,2015
1312,12,2015
1313,10,2015
1314,20,2015
1315,8,2015
1316,2,2015
1317,15,2015
1318,6,2015
1319,8,2015
1320,36,2015
1321,20,2015
1322,15,2015
1323,1,2015
1324,2,2015
1325,1,2015
1326,0,2015
1327,0,2015
1328,0,2015
1329,3,2015
1330,2,2015
1331,0,2015
1332,3,2015
1333,0,2015
1334,0,2015
1335,36,2015
1336,0,2015
1337,0,2015
1338,8,2015
1339,35,2015
1340,2,2015
1341,6,2015
1342,6,2015
1343,2,2015
1344,5,2015
1345,6,2015
1346,0,2015
1347,2,2015
1348,5,2015
1349,3,2015
1350,0,2015
1351,50,2015
1352,12,2015
1353,0,2015
1354,11,2015
1355,0,2015
1356,0,2015
1357,0,2015
1358,1,2015
1359,6,2015
1360,0,2015
1361,10,2015
1362,97,2015
1363,0,2015
1364,24,2015
1365,6,2015
1366,0,2015
1367,12,2015
1368,0,2015
1369,8,2015
1370,0,2015
1371,5,2015
1372,50,2015
1373,0,2015
1374,12,2015
1375,0,2015
1376,0,2015
1377,52,2015
1378,1,2015
1379,6,2015
1380,3,2015
1381,15,2015
1382,7,2015
1383,6,2015
1384,0,2015
1385,60,2015
1386,2,2015
1387,1,2015
1388,0,2015
1389,6,2015
1390,0,2015
1391,12,2015
1392,5,2015
1393,12,2015
1394,36,2015
1395,6,2015
1396,0,2015
1397,2,2015
1398,6,2015
1399,3,2015
1400,10,2015
1401,8,2015
1402,4,2015
1403,1,2015
1404,6,2015
1405,1,2015
1406,5,2015
1407,5,2015
1408,0,2015
1409,2,2015
1410,2,2015
1411,0,2015
1412,0,2015
1413,0,2015
1414,6,2015
1415,0,2015
1416,6,2015
1417,5,2015
1418,0,2015
1419,30,2015
1420,50,2015
1421,15,2015
1422,12,2015
1423,30,2015
1424,3,2015
1425,1,2015
1426,40,2015
1427,0,2015
1428,0,2015
1429,0,2015
1430,1,2015
1431,3,2015
1432,20,2015
1433,97,2015
1434,4,2015
1435,4,2015
1436,0,2015
1437,40,2015
1438,0,2015
1439,24,2015
1440,12,2015
1441,3,2015
1442,8,2015
1443,20,2015
1444,3,2015
1445,15,2015
1446,2,2015
1447,10,2015
1448,5,2015
1449,5,2015
1450,0,2015
1451,12,2015
1452,10,2015
1453,3,2015
1454,7,2015
1455,30,2015
1456,3,2015
1457,12,2015
1458,3,2015
1459,0,2015
1460,0,2015
1461,6,2015
1462,50,2015
1463,30,2015
1464,2,2015
1465,0,2015
1466,97,2015
1467,0,2015
1468,30,2015
1469,50,2015
1470,4,2015
1471,1,2015
1472,0,2015
1473,97,2015
1474,24,2015
1475,18,2015
1476,97,2015
1477,36,2015
1478,15,2015
1479,20,2015
1480,6,2015
1481,40,2015
1482,97,2015
1483,30,2015
1484,0,2015
1485,3,2015
1486,90,2015
1487,1,2015
1488,0,2015
1489,10,2015
1490,1,2015
1491,5,2015
1492,2,2015
1493,0,2015
1494,70,2015
1495,0,2015
1496,2,2015
1497,0,2015
1498,3,2015
1499,30,2015
1500,3,2015
1501,50,2015
1502,30,2015
1503,97,2015
1504,3,2015
1505,50,2015
1506,1,2015
1507,0,2015
1508,20,2015
1509,0,2015
1510,20,2015
1511,0,2015
1512,3,2015
1513,3,2015
1514,0,2015
1515,3,2015
1516,19,2015
1517,0,2015
1518,3,2015
1519,12,2015
1520,3,2015
1521,3,2015
1522,0,2015
1523,0,2015
1524,30,2015
1525,6,2015
1526,15,2015
1527,0,2015
1528,1,2015
1529,0,2015
1530,1,2015
1531,1,2015
1532,12,2015
1533,4,2015
1534,3,2015
1535,4,2015
1536,25,2015
1537,0,2015
1538,45,2015
1539,8,2015
1540,20,2015
1541,15,2015
1542,0,2015
1543,1,2015
1544,4,2015
1545,0,2015
1546,97,2015
1547,6,2015
1548,10,2015
1549,5,2015
1550,5,2015
1551,10,2015
1552,4,2015
1553,40,2015
1554,3,2015
1555,0,2015
1556,4,2015
1557,2,2015
1558,0,2015
1559,15,2015
1560,12,2015
1561,1,2015
1562,3,2015
1563,60,2015
1564,0,2015
1565,52,2015
1566,4,2015
1567,2,2015
1568,6,2015
1569,3,2015
1570,17,2015
1571,24,2015
1572,0,2015
1573,5,2015
1574,10,2015
1575,15,2015
1576,0,2015
1577,1,2015
1578,6,2015
1579,3,2015
1580,6,2015
1581,50,2015
1582,15,2015
1583,3,2015
1584,0,2015
1585,0,2015
1586,5,2015
1587,4,2015
1588,2,2015
1589,5,2015
1590,3,2015
1591,3,2015
1592,3,2015
1593,12,2015
1594,0,2015
1595,0,2015
1596,0,2015
1597,2,2015
1598,60,2015
1599,6,2015
1600,10,2015
1601,10,2015
1602,20,2015
1603,0,2015
1604,50,2015
1605,20,2015
1606,15,2015
1607,7,2015
1608,2,2015
1609,25,2015
1610,8,2015
1611,0,2015
1612,10,2015
1613,0,2015
1614,0,2015
1615,97,2015
1616,0,2015
1617,35,2015
1618,6,2015
1619,0,2015
1620,6,2015
1621,20,2015
1622,0,2015
1623,10,2015
1624,2,2015
1625,7,2015
1626,9,2015
1627,1,2015
1628,12,2015
1629,5,2015
1630,4,2015
1631,20,2015
1632,24,2015
1633,97,2015
1634,97,2015
1635,3,2015
1636,0,2015
1637,4,2015
1638,0,2015
1639,4,2015
1640,0,2015
1641,3,2015
1642,20,2015
1643,20,2015
1644,0,2015
1645,12,2015
1646,15,2015
1647,6,2015
1648,0,2015
1649,0,2015
1650,50,2015
1651,25,2015
1652,4,2015
1653,20,2015
1654,83,2015
1655,3,2015
1656,0,2015
1657,3,2015
1658,3,2015
1659,4,2015
1660,6,2015
1661,5,2015
1662,7,2015
1663,97,2015
1664,6,2015
1665,3,2015
1666,12,2015
1667,97,2015
1668,4,2015
1669,2,2015
1670,4,2015
1671,2,2015
1672,2,2015
1673,15,2015
1674,0,2015
1675,7,2015
1676,0,2015
1677,2,2015
1678,4,2015
1679,2,2015
1680,5,2015
1681,9,2015
1682,3,2015
1683,12,2015
1684,3,2015
1685,36,2015
1686,1,2015
1687,4,2015
1688,20,2015
1689,0,2015
1690,2,2015
1691,3,2015
1692,7,2015
1693,0,2015
1694,12,2015
1695,65,2015
1696,24,2015
1697,30,2015
1698,0,2015
1699,0,2015
1700,0,2015
1701,6,2015
1702,97,2015
1703,3,2015
1704,0,2015
1705,9,2015
1706,10,2015
1707,50,2015
1708,10,2015
1709,0,2015
1710,3,2015
1711,0,2015
1712,2,2015
1713,7,2015
1714,10,2015
1715,4,2015
1716,1,2015
1717,0,2015
1718,4,2015
1719,3,2015
1720,10,2015
1721,97,2015
1722,0,2015
1723,10,2015
1724,0,2015
1725,15,2015
1726,6,2015
1727,50,2015
1728,75,2015
1729,5,2015
1730,0,2015
1731,18,2015
1732,97,2015
1733,5,2015
1734,5,2015
1735,97,2015
1736,5,2015
1737,15,2015
1738,3,2015
1739,10,2015
1740,7,2015
1741,0,2015
1742,5,2015
1743,0,2015
1744,1,2015
1745,50,2015
1746,1,2015
1747,17,2015
1748,4,2015
1749,1,2015
1750,20,2015
1751,0,2015
1752,12,2015
1753,12,2015
1754,4,2015
1755,1,2015
1756,0,2015
1757,10,2015
1758,30,2015
1759,1,2015
1760,5,2015
1761,20,2015
1762,10,2015
1763,97,2015
